Name,Description,Regex,Risk,Category
Password etc passwd,Password etc passwd,"[a-zA-Z0-9\-]+:[x|\*]:\d+:\d+:[a-zA-Z0-9/\- ""]*:/[a-zA-Z0-9/\-]*:/[a-zA-Z0-9/\-]+",8,Confidential
Password etc shadow,Password etc shadow,[a-zA-Z0-9\-]+:(?:(?:!!?)|(?:\*LOCK\*?)|\*|(?:\*LCK\*?)|(?:\$.*\$.*\$.*?)?):\d*:\d*:\d*:\d*:\d*:\d*:,8,Confidential
PlainText Private Key,PlainText Private Key,-----BEGIN PRIVATE KEY-----(?:.|\s)+?-----END PRIVATE KEY-----,8,Confidential
PuTTY SSH DSA Key,PuTTY SSH DSA Key,PuTTY-User-Key-File-2: ssh-dss\s*Encryption: none(?:.|\s?)*?Private-MAC:,8,Confidential
PuTTY SSH RSA Key,PuTTY SSH RSA Key,PuTTY-User-Key-File-2: ssh-rsa\s*Encryption: none(?:.|\s?)*?Private-MAC:,8,Confidential
Public Key Cryptography System (PKCS),Public Key Cryptography System (PKCS),"protocol=""application/x-pkcs[0-9]{0,2}-signature""",3,Confidential
Public encrypted key,Public encrypted key,-----BEGIN PUBLIC KEY-----(?:.|\s)+?-----END PUBLIC KEY-----,1,Confidential
RSA Private Key,RSA Private Key,"-----BEGIN RSA PRIVATE KEY-----(?:[a-zA-Z0-9\+\=\/""']|\s)+?-----END RSA PRIVATE KEY-----",8,Confidential
SSL Certificate,SSL Certificate,-----BEGIN CERTIFICATE-----(?:.|\n)+?\s-----END CERTIFICATE-----,3,Confidential
SWIFT Codes,SWIFT Codes,"[A-Za-z]{4}(?:GB|US|DE|RU|CA|JP|CN)[0-9a-zA-Z]{2,5}$",4,PII
Samba Password config file,Samba Password config file,[a-z]*:\d{3}:[0-9a-zA-Z]*:[0-9a-zA-Z]*:\[U\ \]:.*,7,Confidential
Simple Network Management Protocol Object Identifier,Simple Network Management Protocol Object Identifier,(?:\d\.\d\.\d\.\d\.\d\.\d{3}\.\d\.\d\.\d\.\d\.\d\.\d\.\d\.\d\.\d{4}\.\d)|[a-zA-Z]+[)(0-9]+\.[a-zA-Z]+[)(0-9]+\.[a-zA-Z]+[)(0-9]+\.[a-zA-Z]+[)(0-9]+\.[a-zA-Z]+[)(0-9]+\.[a-zA-Z]+[)(0-9]+\.[a-zA-Z0-9)(]+\.[a-zA-Z0-9)(]+\.[a-zA-Z0-9)(]+\.[a-zA-Z0-9)(]+,5,Confidential
Slack 2FA Backup Codes,Slack 2FA Backup Codes,Two-Factor\s*\S*Authentication\s*\S*Backup\s*\S*Codes(?:.|\n)*[Ss]lack(?:.|\n)*\d{9},8,Confidential
UK Drivers License Numbers,UK Drivers License Numbers,[A-Z]{5}\d{6}[A-Z]{2}\d{1}[A-Z]{2},4,PII
UK Passport Number,UK Passport Number,\d{10}GB[RP]\d{7}[UMF]{1}\d{9},1,PII
USBank Routing Numbers - California,USBank Routing Numbers - California,^12(?:1122676|2235821)$,1,PII
United Bank Routing Number - California,United Bank Routing Number - California,^122243350$,1,PII
Wells Fargo Routing Numbers - California,Wells Fargo Routing Numbers - California,^121042882$,1,PII
aws_access_key,aws_access_key,"((access[-_]?key[-_]?id)|(ACCESS[-_]?KEY[-_]?ID)|([Aa]ccessKeyId)|(access[_-]?id)).{0,20}AKIA[a-zA-Z0-9+/]{16}[^a-zA-Z0-9+/]",3,Confidential
aws_credentials_context,aws_credentials_context,access_key_id|secret_access_key|AssetSync.configure,3,Confidential
aws_secret_key,aws_secret_key,"((secret[-_]?access[-_]?key)|(SECRET[-_]?ACCESS[-_]?KEY|(private[-_]?key))|([Ss]ecretAccessKey)).{0,20}[^a-zA-Z0-9+/][a-zA-Z0-9+/]{40}\b",10,Confidential
facebook_secret,facebook_secret,"(facebook_secret|FACEBOOK_SECRET|facebook_app_secret|FACEBOOK_APP_SECRET)[a-z_ =\s""'\:]{0,5}[^a-zA-Z0-9][a-f0-9]{32}[^a-zA-Z0-9]",8,Confidential
github_key,github_key,"(GITHUB_SECRET|GITHUB_KEY|github_secret|github_key|github_token|GITHUB_TOKEN|github_api_key|GITHUB_API_KEY)[a-z_ =\s""'\:]{0,10}[^a-zA-Z0-9][a-zA-Z0-9]{40}[^a-zA-Z0-9]",8,Confidential
google_two_factor_backup,google_two_factor_backup,"(?:BACKUP VERIFICATION CODES|SAVE YOUR BACKUP CODES)[\s\S]{0,300}@",8,Confidential
heroku_key,heroku_key,"(heroku_api_key|HEROKU_API_KEY|heroku_secret|HEROKU_SECRET)[a-z_ =\s""'\:]{0,10}[^a-zA-Z0-9-]\w{8}(?:-\w{4}){3}-\w{12}[^a-zA-Z0-9\-]",7,Confidential
microsoft_office_365_oauth_context,microsoft_office_365_oauth_context,https://login.microsoftonline.com/common/oauth2/v2.0/token|https://login.windows.net/common/oauth2/token,1,Confidential
pgSQL Connection Information,pgSQL Connection Information,(?:postgres|pgsql)\:\/\/,2,Confidential
slack_api_key,slack_api_key,"(slack_api_key|SLACK_API_KEY|slack_key|SLACK_KEY)[a-z_ =\s""'\:]{0,10}[^a-f0-9][a-f0-9]{32}[^a-f0-9]",7,Confidential
slack_api_token,slack_api_token,"(xox[pb](?:-[a-zA-Z0-9]+){4,})",8,Confidential
ssh_dss_public,ssh_dss_public,ssh-dss [0-9A-Za-z+/]+[=]{2},1,Confidential
ssh_rsa_public,ssh_rsa_public,"ssh-rsa AAAA[0-9A-Za-z+/]+[=]{0,3} [^@]+@[^@]+",1,Confidential
